text,label
I have chills and body ache,flu
I have chills and headache,flu
I have headache and fatigue,flu
I have chills and fever,flu
I have fatigue and body ache,flu
I have body ache and chills,flu
I have headache and chills,flu
I have headache and fatigue,flu
I have chills and fever,flu
I have fever and headache,flu
I have fatigue and fever,flu
I have fever and headache,flu
I have fatigue and body ache,flu
I have fever and headache,flu
I have fatigue and headache,flu
I have headache and fatigue,flu
I have fever and body ache,flu
I have fatigue and body ache,flu
I have body ache and headache,flu
I have chills and fatigue,flu
I have fatigue and fever,flu
I have chills and fatigue,flu
I have fatigue and chills,flu
I have headache and chills,flu
I have fever and headache,flu
I have chills and body ache,flu
I have chills and fever,flu
I have chills and fever,flu
I have chills and fever,flu
I have fever and body ache,flu
I have headache and fever,flu
I have body ache and chills,flu
I have chills and headache,flu
I have headache and body ache,flu
I have fever and chills,flu
I have fatigue and fever,flu
I have headache and chills,flu
I have headache and chills,flu
I have headache and fever,flu
I have fatigue and chills,flu
I have headache and fatigue,flu
I have body ache and chills,flu
I have headache and fatigue,flu
I have body ache and chills,flu
I have headache and fever,flu
I have fatigue and fever,flu
I have body ache and fatigue,flu
I have headache and fatigue,flu
I have fever and fatigue,flu
I have body ache and chills,flu
I have fatigue and headache,flu
I have fatigue and body ache,flu
I have fatigue and headache,flu
I have fever and fatigue,flu
I have fever and headache,flu
I have fatigue and chills,flu
I have fever and body ache,flu
I have chills and body ache,flu
I have body ache and fatigue,flu
I have fatigue and fever,flu
I have body ache and fatigue,flu
I have headache and fever,flu
I have body ache and chills,flu
I have chills and body ache,flu
I have fever and chills,flu
I have fever and body ache,flu
I have headache and chills,flu
I have fever and headache,flu
I have fatigue and headache,flu
I have chills and headache,flu
I have headache and body ache,flu
I have body ache and fatigue,flu
I have body ache and chills,flu
I have fever and body ache,flu
I have headache and fever,flu
I have chills and fatigue,flu
I have body ache and fatigue,flu
I have headache and chills,flu
I have chills and body ache,flu
I have headache and fever,flu
I have chills and headache,flu
I have fatigue and chills,flu
I have headache and fever,flu
I have fatigue and headache,flu
I have headache and fatigue,flu
I have chills and headache,flu
I have body ache and fever,flu
I have fatigue and fever,flu
I have chills and fatigue,flu
I have headache and body ache,flu
I have fatigue and chills,flu
I have fatigue and headache,flu
I have fatigue and body ache,flu
I have body ache and chills,flu
I have chills and body ache,flu
I have headache and fatigue,flu
I have headache and fever,flu
I have chills and fatigue,flu
I have chills and fever,flu
I have body ache and headache,flu
I have fatigue and chills,flu
I have fatigue and chills,flu
I have chills and body ache,flu
I have fatigue and body ache,flu
I have headache and fever,flu
I have fatigue and body ache,flu
I have fever and fatigue,flu
I have chills and fever,flu
I have fever and fatigue,flu
I have chills and body ache,flu
I have chills and fever,flu
I have headache and chills,flu
I have fatigue and headache,flu
I have chills and headache,flu
I have chills and fever,flu
I have body ache and fever,flu
I have fever and chills,flu
I have chills and body ache,flu
I have headache and chills,flu
I have body ache and fatigue,flu
I have fatigue and fever,flu
I have fever and headache,flu
I have fever and headache,flu
I have chills and body ache,flu
I have chills and fever,flu
I have headache and body ache,flu
I have fever and body ache,flu
I have fatigue and chills,flu
I have fatigue and fever,flu
I have body ache and fever,flu
I have body ache and fatigue,flu
I have fatigue and body ache,flu
I have fever and body ache,flu
I have fever and fatigue,flu
I have headache and fever,flu
I have chills and fatigue,flu
I have headache and chills,flu
I have headache and fever,flu
I have headache and fever,flu
I have chills and fever,flu
I have fatigue and body ache,flu
I have body ache and chills,flu
I have fever and headache,flu
I have fatigue and fever,flu
I have fever and fatigue,flu
I have headache and body ache,flu
I have fatigue and fever,flu
I have fever and body ache,flu
I have body ache and chills,flu
I have chills and headache,flu
I have fatigue and chills,flu
I have chills and headache,flu
I have chills and body ache,flu
I have body ache and fatigue,flu
I have chills and body ache,flu
I have fatigue and chills,flu
I have body ache and headache,flu
I have body ache and fatigue,flu
I have chills and fever,flu
I have fatigue and body ache,flu
I have body ache and fever,flu
I have headache and body ache,flu
I have chills and body ache,flu
I have chills and body ache,flu
I have fever and body ache,flu
I have headache and fatigue,flu
I have fever and fatigue,flu
I have fatigue and headache,flu
I have headache and chills,flu
I have body ache and fatigue,flu
I have body ache and chills,flu
I have fever and fatigue,flu
I have headache and body ache,flu
I have chills and fever,flu
I have chills and body ache,flu
I have chills and body ache,flu
I have body ache and chills,flu
I have chills and body ache,flu
I have fatigue and body ache,flu
I have fever and headache,flu
I have fever and chills,flu
I have headache and body ache,flu
I have chills and fever,flu
I have body ache and fatigue,flu
I have fatigue and body ache,flu
I have chills and fatigue,flu
I have fever and chills,flu
I have fever and body ache,flu
I have body ache and headache,flu
I have headache and fatigue,flu
I have fever and headache,flu
I have headache and fever,flu
I have body ache and headache,flu
I have fever and fatigue,flu
I have body ache and chills,flu
I have fatigue and body ache,flu
I have chills and fatigue,flu
I have fever and headache,flu
I have fever and body ache,flu
I have headache and body ache,flu
I have runny nose and sneezing,cold
I have cough and sneezing,cold
I have cough and runny nose,cold
I have runny nose and sneezing,cold
I have sore throat and cough,cold
I have runny nose and sneezing,cold
I have sneezing and runny nose,cold
I have runny nose and sore throat,cold
I have sore throat and cough,cold
I have runny nose and cough,cold
I have sore throat and runny nose,cold
I have runny nose and sneezing,cold
I have sneezing and runny nose,cold
I have sore throat and cough,cold
I have runny nose and sore throat,cold
I have sneezing and cough,cold
I have sneezing and cough,cold
I have runny nose and sore throat,cold
I have cough and sneezing,cold
I have sore throat and sneezing,cold
I have sneezing and sore throat,cold
I have runny nose and sneezing,cold
I have cough and sore throat,cold
I have sore throat and cough,cold
I have cough and runny nose,cold
I have sore throat and runny nose,cold
I have sneezing and cough,cold
I have runny nose and sneezing,cold
I have sore throat and runny nose,cold
I have sore throat and cough,cold
I have sneezing and runny nose,cold
I have cough and sneezing,cold
I have sneezing and cough,cold
I have sore throat and runny nose,cold
I have runny nose and cough,cold
I have runny nose and sore throat,cold
I have runny nose and sneezing,cold
I have runny nose and cough,cold
I have runny nose and cough,cold
I have runny nose and cough,cold
I have sneezing and sore throat,cold
I have sneezing and cough,cold
I have sneezing and cough,cold
I have sore throat and runny nose,cold
I have runny nose and sneezing,cold
I have runny nose and cough,cold
I have sore throat and cough,cold
I have runny nose and sore throat,cold
I have sneezing and sore throat,cold
I have sneezing and cough,cold
I have cough and runny nose,cold
I have cough and runny nose,cold
I have sneezing and sore throat,cold
I have sore throat and runny nose,cold
I have cough and sore throat,cold
I have sneezing and sore throat,cold
I have runny nose and sore throat,cold
I have runny nose and sore throat,cold
I have cough and runny nose,cold
I have sneezing and runny nose,cold
I have runny nose and sore throat,cold
I have sore throat and runny nose,cold
I have sneezing and runny nose,cold
I have sneezing and sore throat,cold
I have sneezing and sore throat,cold
I have cough and sore throat,cold
I have runny nose and sneezing,cold
I have sneezing and cough,cold
I have cough and runny nose,cold
I have cough and sneezing,cold
I have sneezing and sore throat,cold
I have sore throat and cough,cold
I have runny nose and sneezing,cold
I have cough and sore throat,cold
I have runny nose and cough,cold
I have sneezing and sore throat,cold
I have sneezing and cough,cold
I have cough and runny nose,cold
I have runny nose and cough,cold
I have sneezing and runny nose,cold
I have cough and runny nose,cold
I have runny nose and sore throat,cold
I have sore throat and sneezing,cold
I have sore throat and cough,cold
I have sneezing and cough,cold
I have runny nose and cough,cold
I have sneezing and cough,cold
I have sneezing and sore throat,cold
I have runny nose and cough,cold
I have cough and sore throat,cold
I have sneezing and sore throat,cold
I have cough and sore throat,cold
I have sneezing and sore throat,cold
I have cough and sore throat,cold
I have runny nose and sore throat,cold
I have sore throat and runny nose,cold
I have cough and sneezing,cold
I have sore throat and runny nose,cold
I have sore throat and sneezing,cold
I have sore throat and sneezing,cold
I have cough and sore throat,cold
I have sneezing and cough,cold
I have sore throat and sneezing,cold
I have cough and sore throat,cold
I have cough and runny nose,cold
I have sore throat and cough,cold
I have sneezing and runny nose,cold
I have runny nose and sneezing,cold
I have sneezing and cough,cold
I have runny nose and sneezing,cold
I have cough and runny nose,cold
I have runny nose and cough,cold
I have sore throat and cough,cold
I have sneezing and cough,cold
I have runny nose and cough,cold
I have sneezing and sore throat,cold
I have runny nose and cough,cold
I have sore throat and cough,cold
I have cough and runny nose,cold
I have runny nose and sneezing,cold
I have runny nose and cough,cold
I have sore throat and sneezing,cold
I have cough and sore throat,cold
I have sore throat and cough,cold
I have sneezing and cough,cold
I have sneezing and sore throat,cold
I have sore throat and cough,cold
I have sore throat and sneezing,cold
I have sore throat and runny nose,cold
I have sore throat and runny nose,cold
I have sore throat and runny nose,cold
I have cough and sneezing,cold
I have runny nose and sore throat,cold
I have cough and sneezing,cold
I have cough and sore throat,cold
I have sneezing and sore throat,cold
I have sore throat and runny nose,cold
I have cough and sore throat,cold
I have runny nose and sneezing,cold
I have runny nose and sore throat,cold
I have runny nose and sore throat,cold
I have sore throat and sneezing,cold
I have sneezing and sore throat,cold
I have cough and sneezing,cold
I have cough and runny nose,cold
I have sore throat and sneezing,cold
I have cough and sneezing,cold
I have cough and sneezing,cold
I have runny nose and cough,cold
I have cough and sore throat,cold
I have sore throat and sneezing,cold
I have sneezing and sore throat,cold
I have cough and sore throat,cold
I have cough and sore throat,cold
I have cough and runny nose,cold
I have cough and runny nose,cold
I have sore throat and cough,cold
I have runny nose and sore throat,cold
I have sneezing and sore throat,cold
I have sneezing and cough,cold
I have cough and sore throat,cold
I have sore throat and sneezing,cold
I have sneezing and cough,cold
I have runny nose and sore throat,cold
I have cough and runny nose,cold
I have sneezing and cough,cold
I have cough and runny nose,cold
I have runny nose and sore throat,cold
I have sneezing and runny nose,cold
I have cough and sneezing,cold
I have sneezing and cough,cold
I have runny nose and cough,cold
I have sore throat and sneezing,cold
I have sneezing and cough,cold
I have sore throat and sneezing,cold
I have sore throat and runny nose,cold
I have cough and sneezing,cold
I have sore throat and runny nose,cold
I have cough and sneezing,cold
I have runny nose and sneezing,cold
I have runny nose and sore throat,cold
I have cough and runny nose,cold
I have sore throat and sneezing,cold
I have sore throat and cough,cold
I have sore throat and runny nose,cold
I have sneezing and runny nose,cold
I have sneezing and cough,cold
I have cough and sneezing,cold
I have runny nose and cough,cold
I have runny nose and sneezing,cold
I have runny nose and sneezing,cold
I have cough and sneezing,cold
I have runny nose and cough,cold
I have runny nose and sore throat,cold
I have sneezing and sore throat,cold
I have sneezing and runny nose,cold
I have sneezing and runny nose,cold
I have cough and sore throat,cold
I have runny nose and cough,cold
I have runny nose and sneezing,cold
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
